Dispatch_ID,GPU_ID,Queue_ID,PID,TID,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,Wave_Size,Kernel_Name,Start_Timestamp,End_Timestamp,Correlation_ID,Kernel_ID,CPC_CPC_TCIU_BUSY,CPC_CPC_TCIU_IDLE,CPF_CPF_TCIU_BUSY,CPF_CPF_TCIU_STALL,GRBM_COUNT,GRBM_GUI_ACTIVE,SPI_CSN_NUM_THREADGROUPS,SPI_CSN_WAVE,SQ_ACCUM_PREV_HIRES,SQ_IFETCH,SQ_IFETCH_LEVEL,SQ_INSTS,SQ_INSTS_VALU,SQ_INSTS_VALU_ADD_F16,SQ_INSTS_VALU_MUL_F16,SQ_WAVES,TA_BUFFER_READ_WAVEFRONTS_sum,TA_BUFFER_WRITE_WAVEFRONTS_sum,TCP_ATOMIC_TAGCONFLICT_STALL_CYCLES_sum,TCP_READ_TAGCONFLICT_STALL_CYCLES_sum,TCP_TA_TCP_STATE_READ_sum,TCP_WRITE_TAGCONFLICT_STALL_CYCLES_sum,TD_LOAD_WAVEFRONT_sum,TD_SPI_STALL_sum
0,5,12,205893,206415,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2309148333701296,2309148333717256,1,10,786.0,141408.0,7393.0,0.0,142194.0,142194.0,80.0,320.0,0.0,106240.0,26416.0,603840.0,131200.0,0.0,0.0,320.0,0.0,0.0,0.0,0.0,25600.0,0.0,25600.0,0.0
1,4,15,205893,206418,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2309148426012636,2309148426028396,2,20,786.0,142974.0,7240.0,0.0,143760.0,143760.0,80.0,320.0,0.0,106240.0,25856.0,603840.0,131200.0,0.0,0.0,320.0,0.0,0.0,0.0,0.0,25600.0,0.0,25600.0,0.0
2,7,9,205893,206422,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2309148535777878,2309148535793478,3,30,786.0,138234.0,7033.0,0.0,139020.0,139020.0,80.0,320.0,0.0,106240.0,25757.0,603840.0,131200.0,0.0,0.0,320.0,0.0,0.0,0.0,0.0,25600.0,0.0,25600.0,0.0
3,0,14,205893,206419,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2309148643104835,2309148643119835,4,40,786.0,132665.0,8325.0,0.0,133451.0,133451.0,80.0,320.0,0.0,106240.0,24863.0,603840.0,131200.0,0.0,0.0,320.0,0.0,0.0,0.0,0.0,25600.0,0.0,25600.0,0.0
4,6,7,205893,206416,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2309148754060560,2309148754075320,5,50,786.0,133647.0,7313.0,0.0,134433.0,134433.0,0.0,0.0,0.0,106240.0,25090.0,603840.0,131200.0,0.0,0.0,320.0,0.0,0.0,0.0,0.0,25600.0,0.0,25600.0,0.0
5,3,11,205893,206420,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2309148859127256,2309148859142896,6,60,786.0,139407.0,8630.0,0.0,140193.0,140193.0,80.0,320.0,0.0,106240.0,26077.0,603840.0,131200.0,0.0,0.0,320.0,0.0,0.0,0.0,0.0,25600.0,0.0,25600.0,0.0
6,2,10,205893,206417,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2309148967279586,2309148967295546,7,70,786.0,144610.0,9395.0,0.0,145396.0,145396.0,80.0,320.0,0.0,106240.0,25925.0,603840.0,131200.0,0.0,0.0,320.0,0.0,0.0,0.0,0.0,25600.0,0.0,25600.0,0.0
7,1,13,205893,206421,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2309149075262128,2309149075278048,8,80,786.0,140232.0,8862.0,0.0,141018.0,141018.0,80.0,320.0,0.0,106240.0,25992.0,603840.0,131200.0,0.0,0.0,320.0,0.0,0.0,0.0,0.0,25600.0,0.0,25600.0,0.0
8,0,14,205893,205893,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2309149356871318,2309149356886278,9,40,786.0,138133.0,8565.0,0.0,138919.0,138919.0,0.0,0.0,0.0,106240.0,24538.0,603840.0,131200.0,0.0,0.0,320.0,0.0,0.0,0.0,0.0,25600.0,0.0,25600.0,0.0
9,0,16,205893,205893,512,256,0,0,4,0,16,64,wrapped_iota,2309150459757065,2309150459759865,10,81,682.0,63618.0,8254.0,0.0,64300.0,64300.0,0.0,0.0,0.0,16.0,63.0,56.0,24.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0
10,0,17,205893,206671,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,2309150479266778,2309150479271538,11,38,2011.0,103940.0,10039.0,0.0,105951.0,105951.0,0.0,0.0,0.0,68.0,79.0,274.0,80.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0
11,0,16,205893,205893,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,2309150480619554,2309150480625274,12,38,1839.0,69825.0,22415.0,0.0,71664.0,71664.0,0.0,0.0,0.0,68.0,72.0,274.0,80.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0
12,0,16,205893,205893,8192,256,0,0,8,0,16,64,add_vectors_kernel__1,2309150521505071,2309150521508671,13,82,1637.0,83283.0,14769.0,0.0,84920.0,84920.0,0.0,0.0,0.0,256.0,909.0,1408.0,384.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,384.0,0.0,384.0,0.0
13,0,16,205893,205893,512,256,0,0,8,0,16,64,wrapped_add,2309150538575493,2309150538578173,14,83,682.0,58237.0,8684.0,0.0,58919.0,58919.0,0.0,0.0,0.0,32.0,63.0,120.0,56.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,24.0,0.0,24.0,0.0
14,0,18,205893,206671,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,2309151039890618,2309151039893618,15,38,786.0,73161.0,25685.0,0.0,73947.0,73947.0,1.0,8.0,0.0,68.0,62.0,274.0,80.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0
15,0,14,205893,206670,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,2309151041122823,2309151041126063,16,38,786.0,65985.0,30481.0,0.0,66771.0,66771.0,0.0,0.0,0.0,68.0,51.0,274.0,80.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0
